index,title,price,rating,stock,category,book_url
171,"The Three Searches, Meaning, and the Story",Â£13.33,Three,In stock,Default,https://books.toscrape.com/catalogue/the-three-searches-meaning-and-the-story_649/index.html
172,Searching for Meaning in Gailana,Â£38.73,One,In stock,Fantasy,https://books.toscrape.com/catalogue/searching-for-meaning-in-gailana_648/index.html
173,Rook,Â£37.86,Four,In stock,Add a comment,https://books.toscrape.com/catalogue/rook_647/index.html
174,My Kitchen Year: 136 Recipes That Saved My Life,Â£11.53,Two,In stock,Food and Drink,https://books.toscrape.com/catalogue/my-kitchen-year-136-recipes-that-saved-my-life_646/index.html
175,13 Hours: The Inside Account of What Really Happened In Benghazi,Â£27.06,One,In stock,Nonfiction,https://books.toscrape.com/catalogue/13-hours-the-inside-account-of-what-really-happened-in-benghazi_645/index.html
176,Will You Won't You Want Me?,Â£13.86,Three,In stock,Womens Fiction,https://books.toscrape.com/catalogue/will-you-wont-you-want-me_644/index.html
177,Tipping Point for Planet Earth: How Close Are We to the Edge?,Â£37.55,One,In stock,Science,https://books.toscrape.com/catalogue/tipping-point-for-planet-earth-how-close-are-we-to-the-edge_643/index.html
178,The Star-Touched Queen,Â£32.30,Five,In stock,Fantasy,https://books.toscrape.com/catalogue/the-star-touched-queen_642/index.html
179,The Silent Sister (Riley MacPherson #1),Â£46.29,Five,In stock,Fiction,https://books.toscrape.com/catalogue/the-silent-sister-riley-macpherson-1_641/index.html
180,The Midnight Watch: A Novel of the Titanic and the Californian,Â£26.20,One,In stock,Add a comment,https://books.toscrape.com/catalogue/the-midnight-watch-a-novel-of-the-titanic-and-the-californian_640/index.html
181,The Lonely City: Adventures in the Art of Being Alone,Â£33.26,Two,In stock,Nonfiction,https://books.toscrape.com/catalogue/the-lonely-city-adventures-in-the-art-of-being-alone_639/index.html
182,The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,Â£59.15,Four,In stock,Add a comment,https://books.toscrape.com/catalogue/the-gray-rhino-how-to-recognize-and-act-on-the-obvious-dangers-we-ignore_638/index.html
183,The Golden Condom: And Other Essays on Love Lost and Found,Â£39.43,One,In stock,Psychology,https://books.toscrape.com/catalogue/the-golden-condom-and-other-essays-on-love-lost-and-found_637/index.html
184,The Epidemic (The Program 0.6),Â£14.44,Five,In stock,Young Adult,https://books.toscrape.com/catalogue/the-epidemic-the-program-06_636/index.html
185,The Dinner Party,Â£56.54,Two,In stock,Fiction,https://books.toscrape.com/catalogue/the-dinner-party_635/index.html
186,The Diary of a Young Girl,Â£59.90,Three,In stock,Nonfiction,https://books.toscrape.com/catalogue/the-diary-of-a-young-girl_634/index.html
187,The Children,Â£11.88,Three,In stock,Add a comment,https://books.toscrape.com/catalogue/the-children_633/index.html
188,Stars Above (The Lunar Chronicles #4.5),Â£48.05,Two,In stock,Young Adult,https://books.toscrape.com/catalogue/stars-above-the-lunar-chronicles-45_632/index.html
189,Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Â£21.21,Three,In stock,Nonfiction,https://books.toscrape.com/catalogue/snatched-how-a-drug-queen-went-undercover-for-the-dea-and-was-kidnapped-by-colombian-guerillas_631/index.html
190,Raspberry Pi Electronics Projects for the Evil Genius,Â£49.67,Four,In stock,Default,https://books.toscrape.com/catalogue/raspberry-pi-electronics-projects-for-the-evil-genius_630/index.html
191,Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,Â£43.14,One,In stock,Business,https://books.toscrape.com/catalogue/quench-your-own-thirst-business-lessons-learned-over-a-beer-or-two_629/index.html
192,Psycho: Sanitarium (Psycho #1.5),Â£36.97,Five,In stock,Horror,https://books.toscrape.com/catalogue/psycho-sanitarium-psycho-15_628/index.html
193,Poisonous (Max Revere Novels #3),Â£26.80,Three,In stock,Mystery,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html
194,One with You (Crossfire #5),Â£15.71,Four,In stock,Add a comment,https://books.toscrape.com/catalogue/one-with-you-crossfire-5_626/index.html
195,No Love Allowed (Dodge Cove #1),Â£54.65,Four,In stock,Young Adult,https://books.toscrape.com/catalogue/no-love-allowed-dodge-cove-1_625/index.html
196,Murder at the 42nd Street Library (Raymond Ambler #1),Â£54.36,Four,In stock,Mystery,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html
197,Most Wanted,Â£35.28,Three,In stock,Mystery,https://books.toscrape.com/catalogue/most-wanted_623/index.html
198,"Love, Lies and Spies",Â£20.55,Two,In stock,Historical Fiction,https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html
199,How to Speak Golf: An Illustrated Guide to Links Lingo,Â£58.32,Five,In stock,Default,https://books.toscrape.com/catalogue/how-to-speak-golf-an-illustrated-guide-to-links-lingo_621/index.html
